Напрям руху м'яча,2-2,2-2,2-3,2-3,2-4,2-4,3-2,3-2,3-3,3-3,3-4,3-4,4-2,4-2,4-3,4-3,4-4,4-4,z-2,z-2,z-3,z-3,z-4,z-4
Амплуа гравчині,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Передача м'яча знизу,16,7,16,15,3,15,23,6,11,11,3,8,1,2,19,2,1,0,0,0,0,0,0,0
Ефективність,14,7,16,15,1,15,19,6,11,11,3,8,0,2,17,2,1,0,0,0,0,0,0,0
Брак,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
помилка,2,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Передача зверху,0,3,2,4,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ефективність,0,3,1,4,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Брак,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Передача зверху у стрибку,0,0,0,3,0,0,1,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Ефективність,0,0,0,3,0,0,1,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Передача знизу у пірнанні,2,2,2,1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Ефективність,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Брак,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
помилка,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Передача однією рукою,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Брак,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Передача зверху у падінні,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ефективність,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Брак,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
