Напрям руху м'яча,1-5,1-5,1-6,1-6,1-1,1-1,6-5,6-5,6-6,6-6,6-1,6-1,5-5,5-5,5-6,5-6,5-1,5-1
Амплуа гравчині,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Удар силовий,0,0,0,1,0,1,1,1,3,2,1,2,1,1,0,0,0,1
Брак,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1
Обсяг,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Вигране очко,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0
Удар по блоку з відскоком в аут силовий,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Обсяг,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Вигране очко,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Нападаючий удар кистьовий,1,1,0,0,0,0,4,1,0,3,4,4,0,0,0,1,2,4
Брак,0,1,0,0,0,0,2,1,0,2,1,4,0,0,0,0,1,3
Обсяг,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
Вигране очко,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1
Контратака,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Брак,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Накат,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Вигране очко,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Удар кулаком 'поштовх',1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2,0,0
Брак,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0
Вигране очко,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Удар 'кобра',0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Вигране очко,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Сидування двома руами знизу,0,0,0,1,0,0,2,1,0,1,5,0,2,0,1,0,2,0
Брак,0,0,0,1,0,0,1,1,0,1,3,0,0,0,0,0,2,0
Обсяг,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Вигране очко,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0
