Напрям руху м'яча,1,1,2,2,3,3,4,4,5,5,6,6
Амплуа гравчині,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Прийом м'ча знизу,2,7,1,1,1,0,2,1,2,1,4,2
Ефективність,2,6,0,1,1,0,1,1,2,1,3,1
Брак,0,1,1,0,0,0,1,0,0,0,1,1
Прийом м'яча після нападу знизу,0,0,0,0,1,0,0,0,0,0,0,0
Ефективність,0,0,0,0,1,0,0,0,0,0,0,0
Прийом м'яча з випадом знизу,3,4,0,1,0,0,0,1,3,0,3,2
Ефективність,2,0,0,0,0,0,0,0,2,0,3,2
Брак,1,4,0,1,0,0,0,1,1,0,0,0
Прийом для виконання нападу знизу,0,0,0,0,0,0,1,0,0,0,0,0
Прийом м'яча зверху,0,1,0,0,0,0,0,0,1,0,0,0
Брак,0,1,0,0,0,0,0,0,1,0,0,0
