Технічні прийоми,"Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру"
Технічні прийоми,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS
Технічні прийоми,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%
Технічні прийоми,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Удар силовий,"4,0","2,4","23,81%","16,0%","1,6","2,0","16,67%","12,2%","1,5","3,0","23,08%","25,53%","0,75","0,5","7,32%","7,14%","2,5","2,5","17,24%","26,32%","0,5","2,0","4,55%","13,33%"
Удар по блоку з відскоком в аут силовий,0,"0,25",0%,"2,13%",0,0,0%,0%,"1,0",0,"6,9%",0%,0,0,0%,0%
Нападаючий удар кистьовий,"2,6","2,6","15,48%","17,33%","2,2","2,4","22,92%","14,63%","1,75","2,25","26,92%","19,15%","4,75","1,75","46,34%","25,0%","3,5","1,5","24,14%","15,79%","2,0","5,5","18,18%","36,67%"
Контратака,"0,25","0,5","3,85%","4,26%","0,75","0,25","7,32%","3,57%",0,0,0%,0%,"0,5",0,"4,55%",0%
Накат,"0,4",0,"2,38%",0%,"0,4","0,2","4,17%","1,22%","0,25","0,5","3,85%","4,26%","0,5","0,25","4,88%","3,57%","0,5",0,"3,45%",0%,0,0,0%,0%
Кручений удар,0,"0,2",0%,"1,33%",0,0,0%,0%,"0,25",0,"3,85%",0%,"0,5","0,25","4,88%","3,57%"
Удар кулаком 'поштовх',"2,6","1,6","15,48%","10,67%","1,2","1,4","12,5%","8,54%","0,5","1,75","7,69%","14,89%","0,25","1,5","2,44%","21,43%","0,5",0,"3,45%",0%,"1,0","2,0","9,09%","13,33%"
Удар 'кобра',"0,8","0,4","4,76%","2,67%","0,2","0,2","2,08%","1,22%","0,5","1,25","7,69%","10,64%",0,"0,5",0%,"7,14%","1,0","0,5","6,9%","5,26%",0,0,0%,0%
Неускладнена,0,0,0%,0%,0,"0,2",0%,"1,22%",0,"1,0",0%,"8,51%","0,75","0,25","7,32%","3,57%"
Сидування двома руами знизу,"2,6","2,2","15,48%","14,67%","2,4","7,8","25,0%","47,56%","0,25",0,"3,85%",0%,"1,0","1,25","9,76%","17,86%","2,5","0,5","17,24%","5,26%","3,5","1,0","31,82%","6,67%"
