Технічні прийоми,"Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру"
Технічні прийоми,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS
Технічні прийоми,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%
Технічні прийоми,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Передача м'яча знизу,"9,2","6,4","75,41%","46,38%","9,4","6,8","69,12%","72,34%","9,25","4,5","97,37%","81,82%","4,25","6,75","70,83%","69,23%","5,5","9,0","84,62%","75,0%","13,0","1,0","100,0%","28,57%"
Передача зверху,0,"2,8",0%,"20,29%","0,4",0,"2,94%",0%,0,"0,5",0%,"9,09%",0,0,0%,0%,0,"0,5",0%,"4,17%",0,0,0%,0%
Передача зверху у стрибку,"0,2","2,2","1,64%","15,94%",0,0,0%,0%
Передача знизу у пірнанні,"0,6","0,6","4,92%","4,35%","1,0","0,2","7,35%","2,13%","0,25",0,"2,63%",0%,"1,0","0,5","16,67%","5,13%",0,"1,0",0%,"8,33%",0,0,0%,0%
Передача однією рукою,"0,4",0,"3,28%",0%,"0,2",0,"1,47%",0%
Передача зверху у падінні,"0,2",0,"1,64%",0%,"0,2",0,"1,47%",0%
