Технічні прийоми,"Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру"
Технічні прийоми,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS
Технічні прийоми,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%
Технічні прийоми,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Силова з місця,"1,8","2,0","10,23%","14,08%","2,4","1,8","23,53%","23,68%","1,0","2,5","9,76%","24,39%","0,5","0,25","12,5%","6,25%","0,5",0,"3,12%",0%,"0,5",0,"9,09%",0%
Націлена з місця,"3,0","2,2","17,05%","15,49%","1,2","0,8","11,76%","10,53%","4,75","4,5","46,34%","43,9%","1,5","2,5","37,5%","62,5%","13,5","0,5","84,38%","10,0%","5,0","0,5","90,91%","5,26%"
Пряма з місця,"2,8","2,2","15,91%","15,49%","2,4","1,0","23,53%","13,16%",0,"0,25",0%,"2,44%",0,0,0%,0%,"0,5",0,"3,12%",0%,0,0,0%,0%
Силова у стрибку,"2,2","2,0","12,5%","14,08%","1,0","1,0","9,8%","13,16%","0,75","1,0","7,32%","9,76%","0,75","0,5","18,75%","12,5%",0,"0,5",0%,"10,0%",0,"1,0",0%,"10,53%"
Плануюча у стрибку,"2,8","3,2","15,91%","22,54%","0,8","1,2","7,84%","15,79%","0,75",0,"7,32%",0%,0,"0,25",0%,"6,25%"
Націлена у стрибку,"0,6","1,6","3,41%","11,27%","1,0","1,0","9,8%","13,16%","2,5","1,75","24,39%","17,07%","0,5","0,5","12,5%","12,5%",0,"4,0",0%,"80,0%",0,"7,0",0%,"73,68%"
Коротка з топспіном,"1,2","0,6","6,82%","4,23%","0,2","0,4","1,96%","5,26%","0,5",0,"4,88%",0%,"0,5",0,"12,5%",0%,"0,5",0,"3,12%",0%,0,"1,0",0%,"10,53%"
Довга з топспіном,0,"0,2",0%,"1,41%","0,4",0,"3,92%",0%
