Технічні прийоми,"Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру"
Технічні прийоми,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS
Технічні прийоми,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%
Технічні прийоми,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Прийом м'ча знизу,"6,0","3,2","39,47%","25,81%","1,2","1,6","10,34%","11,59%","2,75","2,25","50,0%","52,94%","0,5","3,0","18,18%","40,0%","3,0","4,0","35,29%","47,06%","3,5","2,0","43,75%","28,57%"
Прийом м'яча після нападу знизу,"2,0","2,8","13,16%","22,58%","2,2","2,4","18,97%","17,39%",0,0,0%,0%,0,"0,25",0%,"3,33%","0,5",0,"5,88%",0%,0,0,0%,0%
Прийом м'яча з випадом знизу,"1,2","1,8","7,89%","14,52%","1,8","1,6","15,52%","11,59%","0,75","1,0","13,64%","23,53%","0,75","1,0","27,27%","13,33%","2,5","1,5","29,41%","17,65%","2,0","2,5","25,0%","35,71%"
Прийом для виконання передачі знизу,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Прийом для виконання нападу знизу,"0,8","0,8","5,26%","6,45%","3,0","2,0","25,86%","14,49%","0,5","0,25","9,09%","5,88%","0,5",0,"18,18%",0%,0,0,0%,0%,"0,5",0,"6,25%",0%
Прийом м'яча зверху,"0,2","0,2","1,32%","1,61%",0,"0,6",0%,"4,35%","0,5",0,"9,09%",0%,"0,25","0,5","9,09%","6,67%",0,"0,5",0%,"5,88%","0,5",0,"6,25%",0%
Прийом 'Томагавк' зверху,"0,2",0,"1,32%",0%,"0,6",0,"5,17%",0%
Прийом для виконання передачі зверху,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Прийом для виконання нападу зверху,0,0,0%,0%,0,"0,2",0%,"1,45%","0,25",0,"4,55%",0%,0,"0,25",0%,"3,33%"
Неускладнена,0,0,0%,0%,"0,2",0,"1,72%",0%
