Технічні прийоми,"Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру"
Технічні прийоми,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS,WIN,WIN,WIN,WIN,LOS,LOS,LOS,LOS
Технічні прийоми,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%,K,K,%,%
Технічні прийоми,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Прийом м'ча знизу для виконання передачі,"4,6","6,2","63,89%","68,89%","5,8","6,6","44,62%","47,83%","3,0","6,25","70,59%","80,65%","7,75","3,5","51,67%","53,85%","4,5","2,5","52,94%","45,45%","0,5","13,5","100,0%","71,05%"
Прийом м'яча з випадом,"1,0","0,8","13,89%","8,89%","1,6","2,4","12,31%","17,39%","0,5","0,5","11,76%","6,45%","1,75","1,5","11,67%","23,08%",0,"1,5",0%,"27,27%",0,"3,0",0%,"15,79%"
Прийом м'яча в 'пірнанні',"0,4","0,4","5,56%","4,44%","0,2",0,"1,54%",0%,"0,25","0,75","5,88%","9,68%","1,0","0,75","6,67%","11,54%","0,5",0,"5,88%",0%,0,"2,0",0%,"10,53%"
Прийом м'яча зверху для виконання передчі,0,0,0%,0%,0,"0,2",0%,"1,45%","0,25",0,"5,88%",0%,"0,5",0,"3,33%",0%
Прийом 'Томагавк',0,0,0%,0%,"0,2",0,"1,54%",0%
Прийом зверху для виконання нападу,0,0,0%,0%,"0,2","0,2","1,54%","1,45%",0,"0,5",0%,"9,09%",0,0,0%,0%
Неускладнена,0,0,0%,0%,"0,25",0,"1,67%",0%
